Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-07-16,49.65,52.075,49.65,51.825,2.4,51.825,18889.0,83339.0
2020-07-17,51.7,51.975,50.825,50.95,-0.75,51.075,10667.0,85613.0
2020-07-20,51.1,51.5,49.025,49.1,-1.875,49.2,16798.0,86579.0
2020-07-21,49.275,50.35,49.025,50.225,0.825,50.025,12003.0,88773.0
2020-07-22,50.775,50.975,49.65,49.875,0.05,50.075,11618.0,92294.0
2020-07-23,50.475,51.675,50.25,50.975,0.95,51.025,13622.0,93458.0
2020-07-24,51.05,51.175,49.425,50.075,-0.875,50.15,13185.0,95044.0
2020-07-27,50.4,51.2,49.625,50.85,0.6,50.75,13742.0,96305.0
2020-07-28,50.65,51.425,50.1,50.6,-0.025,50.725,12772.0,98803.0
2020-07-29,50.1,50.55,49.1,49.8,-0.9,49.825,14989.0,100220.0
2020-07-30,49.525,49.975,48.025,48.025,-1.5,48.325,15549.0,102020.0
2020-07-31,48.05,49.825,47.875,49.45,1.3,49.625,16833.0,102645.0
2020-08-03,49.0,49.375,48.05,48.575,-1.225,48.4,16610.0,105378.0
2020-08-04,48.25,49.575,48.175,49.125,0.625,49.025,14870.0,106177.0
2020-08-05,48.925,49.775,48.7,49.225,0.275,49.3,16070.0,106287.0
2020-08-06,48.95,49.75,48.925,49.35,-0.1,49.2,9354.0,105868.0
2020-08-07,49.725,51.85,49.725,51.0,1.775,50.975,18471.0,105943.0
2020-08-10,51.6,54.15,51.5,53.875,2.85,53.825,26246.0,106522.0
2020-08-11,54.0,54.025,51.775,51.825,-2.0,51.825,18837.0,106751.0
2020-08-12,51.575,52.3,50.55,51.65,-0.225,51.6,15158.0,102292.0
2020-08-13,51.775,52.475,51.5,52.15,0.75,52.35,12911.0,100910.0
2020-08-14,52.25,53.475,52.15,53.075,0.675,53.025,10581.0,101138.0
2020-08-17,52.825,53.9,52.8,53.55,0.5,53.525,9902.0,101400.0
2020-08-18,53.45,53.55,51.275,51.35,-2.1,51.425,14899.0,101692.0
2020-08-19,51.65,52.825,51.475,52.975,1.125,52.55,11032.0,100213.0
2020-08-20,53.7,56.125,53.55,55.5,2.625,55.175,25165.0,99915.0
2020-08-21,55.525,55.975,54.075,54.075,-0.925,54.25,12939.0,101646.0
2020-08-24,54.5,55.95,54.25,54.5,0.35,54.6,13963.0,100123.0
2020-08-25,55.475,56.175,55.175,56.0,1.35,55.95,12322.0,99477.0
2020-08-26,55.95,56.7,54.65,55.6,-0.4,55.55,15348.0,99118.0
2020-08-27,55.4,56.125,55.275,55.725,0.175,55.725,11494.0,97271.0
2020-08-28,55.025,55.075,53.225,53.575,-2.075,53.65,18384.0,95884.0
2020-08-31,53.375,54.375,53.175,53.675,-0.05,53.6,11967.0,93940.0
2020-09-01,54.0,55.2,53.8,54.95,1.425,55.025,17292.0,93889.0
2020-09-02,55.25,56.925,54.9,56.875,1.375,56.4,21906.0,92481.0
2020-09-03,57.3,59.4,57.175,59.05,2.85,59.25,32048.0,90840.0
2020-09-04,59.9,60.95,58.875,59.725,0.575,59.825,22709.0,88419.0
2020-09-08,59.375,60.275,58.775,59.025,0.075,59.9,26166.0,84792.0
2020-09-09,60.05,61.725,59.775,61.25,1.475,61.375,28293.0,77261.0
2020-09-10,63.1,64.375,62.875,64.375,3.0,64.375,18064.0,69399.0
2020-09-11,67.475,68.725,66.125,66.2,2.2,66.575,46005.0,62240.0
2020-09-14,68.325,68.525,64.4,64.45,-1.95,64.625,27694.0,48193.0
2020-09-15,65.25,67.0,65.15,65.65,1.075,65.7,20317.0,42842.0
2020-09-16,66.375,66.875,64.15,65.225,-0.475,65.225,18177.0,39171.0
2020-09-17,66.075,67.2,65.6,66.7,1.3,66.525,14634.0,36363.0
2020-09-18,67.275,67.775,65.9,66.5,-0.025,66.5,10359.0,34455.0
2020-09-21,66.1,66.475,65.275,65.575,-0.9,65.6,8082.0,32792.0
2020-09-22,67.6,68.6,67.075,68.325,2.725,68.325,10038.0,31939.0
2020-09-23,68.3,69.55,68.25,69.325,1.175,69.5,7746.0,30655.0
2020-09-24,69.175,69.85,69.025,69.475,-0.025,69.475,6255.0,29490.0
2020-09-25,69.475,72.0,68.9,71.775,2.275,71.75,8281.0,28386.0
2020-09-28,72.275,72.775,72.15,72.725,0.95,72.7,6020.0,27804.0
2020-09-29,73.275,73.45,72.125,72.25,-0.325,72.375,6817.0,26625.0
2020-09-30,72.575,73.05,72.2,73.0,0.425,72.8,5591.0,25024.0
2020-10-01,73.2,74.4,73.025,74.125,1.35,74.15,5803.0,23371.0
2020-10-02,74.7,75.425,74.25,74.475,0.35,74.5,5079.0,23004.0
2020-10-05,74.325,74.9,74.0,74.8,0.25,74.75,4387.0,21155.0
2020-10-06,75.5,76.375,75.475,76.25,1.575,76.325,5435.0,19252.0
2020-10-07,76.45,77.025,76.2,76.875,0.55,76.875,4964.0,16334.0
2020-10-08,77.225,77.575,77.0,77.4,0.475,77.35,3924.0,13451.0
2020-10-09,77.75,78.2,77.55,78.15,0.775,78.125,2552.0,11777.0
2020-10-12,78.225,78.275,78.05,78.175,0.05,78.175,3056.0,11815.0
2020-10-13,77.975,78.05,77.65,77.85,-0.375,77.8,2484.0,11073.0
2020-10-14,78.05,78.425,78.0,78.425,0.625,78.425,1771.0,10090.0
